Moana serial number, 874
Download time, 10/06/2025 09:00:02
Deck unit serial number, 5361
Moana calibration date, 17/08/2023
Moana Battery, 3.56 (V)
Date quality controlled, 2025-06-10T12:03:14 +0000
Vessel Name, Green Mountain 
Vessel ID, NA
Cellular upload position, NA
Deck unit battery voltage, 4.16
QC_FLAG Key, 1=good 2=probably good 3=probably bad 4=bad
,DATETIME [UTC],LATITUDE,LONGITUDE,TEMPERATURE [degC],DEPTH [m],QC_FLAG
73,2025-06-10T01:12:55,29.113936,197.529005,20.54,89.6,2
74,2025-06-10T01:12:58,29.113936,197.529005,20.51,90.9,2
75,2025-06-10T01:13:02,29.113936,197.529005,20.49,92.2,2
76,2025-06-10T01:13:08,29.113936,197.529005,20.46,93.2,2
77,2025-06-10T01:13:11,29.113936,197.529005,20.44,94.2,2
78,2025-06-10T01:13:14,29.113936,197.529005,20.42,95.3,2
79,2025-06-10T01:13:18,29.113936,197.529005,20.39,96.4,2
80,2025-06-10T01:13:23,29.113936,197.529005,20.32,97.5,2
81,2025-06-10T01:13:26,29.113936,197.529005,20.29,98.7,2
82,2025-06-10T01:13:31,29.113936,197.529005,20.22,100.0,2
83,2025-06-10T01:13:35,29.113936,197.529005,20.17,101.1,2
84,2025-06-10T01:13:40,29.113936,197.529005,20.11,102.5,2
85,2025-06-10T01:13:45,29.113936,197.529005,20.04,103.7,2
86,2025-06-10T01:13:48,29.113936,197.529005,20.02,104.9,2
87,2025-06-10T01:13:53,29.113936,197.529005,19.98,106.3,2
88,2025-06-10T01:13:57,29.113936,197.529005,19.96,107.5,2
89,2025-06-10T01:14:02,29.113936,197.529005,19.75,108.7,2
90,2025-06-10T01:14:05,29.113936,197.529005,19.61,109.7,2
91,2025-06-10T01:14:10,29.113936,197.529005,19.5,111.6,2
92,2025-06-10T01:14:15,29.113936,197.529005,19.48,112.9,2
93,2025-06-10T01:14:17,29.113936,197.529005,19.47,114.0,2
94,2025-06-10T01:14:23,29.113936,197.529005,19.4,115.4,2
95,2025-06-10T01:14:27,29.113936,197.529005,19.38,116.6,2
96,2025-06-10T01:14:31,29.113936,197.529005,19.36,118.0,2
97,2025-06-10T01:14:34,29.113936,197.529005,19.38,119.1,2
98,2025-06-10T01:14:39,29.113936,197.529005,19.33,120.4,2
99,2025-06-10T01:14:45,29.113936,197.529005,19.31,122.2,2
100,2025-06-10T01:14:49,29.113936,197.529005,19.28,123.4,2
101,2025-06-10T01:14:53,29.113936,197.529005,19.24,124.4,2
102,2025-06-10T01:14:57,29.113936,197.529005,19.12,125.5,2
103,2025-06-10T01:15:00,29.113936,197.529005,18.98,126.6,2
104,2025-06-10T01:15:04,29.113936,197.529005,18.88,127.7,2
105,2025-06-10T01:15:08,29.113936,197.529005,18.84,129.0,2
106,2025-06-10T01:15:13,29.113936,197.529005,18.76,130.1,2
107,2025-06-10T01:15:17,29.113936,197.529005,18.66,131.4,2
108,2025-06-10T01:15:20,29.113936,197.529005,18.61,132.5,2
109,2025-06-10T01:15:24,29.113936,197.529005,18.59,133.6,2
110,2025-06-10T01:15:28,29.113936,197.529005,18.6,134.7,2
111,2025-06-10T01:15:31,29.113936,197.529005,18.59,135.8,2
112,2025-06-10T01:15:36,29.113936,197.529005,18.59,136.8,2
113,2025-06-10T01:15:39,29.113936,197.529005,18.58,137.9,2
114,2025-06-10T01:15:43,29.113936,197.529005,18.58,139.0,2
115,2025-06-10T01:15:47,29.113936,197.529005,18.61,140.0,2
116,2025-06-10T01:15:51,29.113936,197.529005,18.72,141.2,2
117,2025-06-10T01:15:56,29.113936,197.529005,18.75,142.6,2
118,2025-06-10T01:16:01,29.113936,197.529005,18.73,144.0,2
119,2025-06-10T01:16:05,29.113936,197.529005,18.66,145.2,2
120,2025-06-10T01:16:10,29.113936,197.529005,18.56,146.3,2
121,2025-06-10T01:16:14,29.113936,197.529005,18.48,147.5,2
122,2025-06-10T01:16:19,29.113936,197.529005,18.33,148.5,2
123,2025-06-10T01:16:23,29.113936,197.529005,18.35,149.5,2
124,2025-06-10T01:16:26,29.113936,197.529005,18.34,150.8,2
125,2025-06-10T01:16:31,29.113936,197.529005,18.36,151.9,2
126,2025-06-10T01:16:35,29.113936,197.529005,18.38,153.1,2
127,2025-06-10T01:16:39,29.113936,197.529005,18.35,154.2,2
128,2025-06-10T01:16:45,29.113936,197.529005,18.31,155.6,2
